LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_T,FRAME,RADIUS,VISIBILITY,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1,ELLIPSE_X0,ELLIPSE_Y0,ELLIPSE_MAJOR,ELLIPSE_MINOR,ELLIPSE_THETA,ELLIPSE_ASPECTRATIO,AREA,PERIMETER,CIRCULARITY,SOLIDITY,SHAPE_INDEX,SOURCE_FILE,CHANNEL,META_DATE,META_MODEL
ID4061,4061,0,102.0,136.01393082131992,67.03209492025472,23.0,23,5.665943580771524,1,113.84313725490196,107.0,47.0,203.0,11612.0,42.65397155095975,0.5912475357550957,1.9833939112501604,0.0535675443939082,0.181899626827052,6.709946770094037,4.836954965157921,0.9025926801853056,1.3872253966447596,100.8542871393883,51.707130811086046,0.4740272938848505,0.8717948717948716,5.148767223478706,160727_k5_YFP_15-45_spots.csv,YFP,2016-07-27,K5
ID4062,4062,0,129.0,133.65383737826602,67.1391039601303,22.0,22,6.371871588568221,1,124.04651162790698,109.0,37.0,301.0,16002.0,63.48657097975479,0.6293472254118495,1.509417417866015,-0.4851590555874049,-0.1448904629561123,7.776694588193989,5.556800138753186,0.8240390860013586,1.3994915048247345,127.5510102056969,65.62828141407074,0.3721445843095347,0.7633136094674555,5.810975981749118,160727_k5_YFP_15-45_spots.csv,YFP,2016-07-27,K5
ID3999,3999,0,129.0,134.97195296692232,68.17201325182506,15.0,15,6.371871588568219,1,106.83720930232558,97.0,38.0,259.0,13782.0,46.28981237433528,0.580068881985914,1.6946134870920484,0.0513850629832823,0.6435993889883367,10.64311605292298,3.949846691836676,1.277448775254783,2.6945643421856302,127.55101020569684,73.58322461577625,0.2960302792644876,0.765578635014837,6.515336706809615,160727_k5_YFP_15-45_spots.csv,YFP,2016-07-27,K5
ID4063,4063,0,144.0,133.0519493146384,68.4249411334208,21.0,21,6.732144138174461,1,118.66666666666669,111.0,30.0,231.0,17088.0,52.6697057339217,0.6065174415909791,1.7012012626395012,-0.4608138833889916,-0.3165222695876277,8.732513186112527,5.541395411679509,0.9838830183323236,1.5758689891912696,142.3825230203129,75.5719604162026,0.3132890180865175,0.7254408060453409,6.333333333333326,160727_k5_YFP_15-45_spots.csv,YFP,2016-07-27,K5
ID4002,4002,0,109.0,136.04594950347894,68.92155491844616,10.0,10,5.857137355392236,1,153.03669724770643,156.0,41.0,276.0,16681.0,62.149003538614174,0.673945180553271,1.982781010497228,-0.0626342171563328,0.0667138671081264,7.263377233503317,4.797734143119281,1.329413466225205,1.5139182407429064,107.77565978620903,53.6958666115124,0.4697305888083509,0.8897959183673463,5.172261940194214,160727_k5_YFP_15-45_spots.csv,YFP,2016-07-27,K5
ID4006,4006,0,101.0,135.86412894002066,72.63808284923701,5.0,5,5.638100937675952,1,170.1980198019802,166.0,51.0,352.0,17190.0,77.54276494966892,0.6886940005858737,1.7902700868348755,0.0127805120704576,0.0089468293661489,6.648675426953583,4.823951406355537,1.2033557530102286,1.3782633502887236,99.86551961841393,45.740923409806896,0.5998125860351022,0.930875576036866,4.577171074965951,160727_k5_YFP_15-45_spots.csv,YFP,2016-07-27,K5
ID4070,4070,0,100.0,134.56780793585148,67.5871861774909,24.0,24,5.610120115145381,1,112.82,109.0,45.0,247.0,11282.0,47.61469512576125,0.6118466531733705,1.7988458563189096,0.1016953342521121,-0.1196036012014857,6.306695567683375,5.120961131971412,0.679515987228886,1.2315452910409987,98.8767520974394,51.70713081108602,0.464732641063579,0.8547008547008544,5.199999999999999,160727_k5_YFP_15-45_spots.csv,YFP,2016-07-27,K5
ID4071,4071,0,92.0,135.64475160516977,68.61138511471053,26.0,26,5.381038179557003,1,101.1086956521739,95.0,37.0,187.0,9302.0,36.78970726870959,0.5791738433646045,2.0159101400314823,-0.0413695586198378,0.002546243764175,6.344689746892677,4.450807524986941,1.1503808330963146,1.4255142940406735,90.96661192964436,45.740923409806896,0.5463639397547466,0.9108910891089104,4.79583152331272,160727_k5_YFP_15-45_spots.csv,YFP,2016-07-27,K5
ID4008,4008,0,95.0,136.8459571303921,72.73539514296259,4.0,4,5.468068701199803,1,150.38947368421051,142.0,56.0,305.0,14287.0,64.10634361959225,0.6511444295967697,1.850285280480588,0.0227816223837809,-0.1468811535099858,6.171121956552335,4.987920490588443,1.4949071222273922,1.23721337743784,93.93291449256748,43.75218760938046,0.6166349216756835,0.9223300970873788,4.514304749174674,160727_k5_YFP_15-45_spots.csv,YFP,2016-07-27,K5
ID4077,4077,0,87.0,135.19974588071025,68.11991592265035,29.0,29,5.2327716847319286,1,106.71264367816092,83.0,35.0,252.0,9284.0,52.84199969060398,0.5786203631020791,1.480412159438388,-0.2887201570740081,-0.1433803099953353,7.250115323628662,3.992140193094536,0.9450410631937788,1.8160973745785929,86.02277432477243,47.72965921023328,0.4745113903859586,0.892307692307692,5.1461401672214135,160727_k5_YFP_15-45_spots.csv,YFP,2016-07-27,K5
ID4014,4014,0,116.0,135.95409394294222,69.7686236192688,11.0,11,6.042284281575657,1,153.50862068965515,153.0,48.0,270.0,17807.0,66.05116537031434,0.6680400946587453,1.8615655100121544,-0.0927728523988156,0.0566220776823375,7.402708909875478,4.911772414544119,1.1985896951620656,1.5071359755911151,114.69703243302976,51.70713081108602,0.5390898636337518,0.9098039215686274,4.828078792603347,160727_k5_YFP_15-45_spots.csv,YFP,2016-07-27,K5
ID4078,4078,0,104.0,133.2452986285704,67.8656091895513,30.0,30,5.721222388145141,1,86.53846153846153,72.0,34.0,195.0,9000.0,43.001450207408745,0.5204130983036901,1.3776620017393106,-0.8987875362543689,0.3539375267537732,8.645275975375029,5.3120733708386405,1.3428241162603605,1.6274767631852496,102.83182218133702,71.59448881534986,0.2521031141769589,0.6603174603174605,7.060180864974623,160727_k5_YFP_15-45_spots.csv,YFP,2016-07-27,K5
ID4016,4016,0,77.0,136.07343590319925,72.911703436411,3.0,3,4.922860421939293,1,132.55844155844156,133.0,58.0,230.0,10207.0,43.98908163172381,0.5549398446091786,2.150922714854243,-0.2390066568631454,0.0016209443835829,5.6956909878542605,4.664598464491548,2.474498735693577,1.2210463625565473,76.13509911502841,39.77471600852769,0.6047565858160363,0.9166666666666672,4.558423058385514,160727_k5_YFP_15-45_spots.csv,YFP,2016-07-27,K5
ID4017,4017,0,126.0,135.6917593354414,67.92479775503922,16.0,16,6.297344210856839,1,113.73809523809524,113.0,40.0,208.0,14331.0,41.01554409175693,0.5792706327132043,2.034287926574831,0.5890692624779705,0.3256963175403802,9.114271725819908,4.656012858727652,1.0359007615148286,1.9575271809516788,124.58470764277374,57.67333821236518,0.4706785664117885,0.8873239436619721,5.1670506769735365,160727_k5_YFP_15-45_spots.csv,YFP,2016-07-27,K5
ID4018,4018,0,108.0,134.22125230840754,70.53567114382697,6.0,6,5.830207845597579,1,180.2037037037037,178.0,55.0,357.0,19462.0,76.47548740001768,0.7101645926679145,1.9570078143234544,0.1824547242235618,0.0531350020851839,7.064181112119008,4.993222119745245,1.4173637665539986,1.414754029103641,106.78689226523468,49.71839501065966,0.5428672105403162,0.9113924050632908,4.811252243246881,160727_k5_YFP_15-45_spots.csv,YFP,2016-07-27,K5
ID4082,4082,0,117.0,135.08955362298084,67.60001947261333,28.0,28,6.068272721000585,1,85.92307692307692,74.0,32.0,183.0,10053.0,40.54694041056397,0.5310787971152774,1.4700873763088695,-0.1123924176085122,0.394772099644186,8.803254864655296,4.467741791505193,1.52999593825216,1.9704036794143955,115.68579995400415,65.62828141407077,0.3375264834435312,0.801369863013698,6.101702158477523,160727_k5_YFP_15-45_spots.csv,YFP,2016-07-27,K5
ID4021,4021,0,112.0,134.6480676306553,69.89873641409393,7.0,7,5.9371930599502925,1,221.30357142857144,218.0,53.0,407.0,24786.0,99.09153465045456,0.7455181836162447,1.907724807317609,0.1270563473978381,-0.0025048674971885,6.897124718269267,5.232561996245398,1.5143801310875071,1.3181161968493196,110.74196234913224,49.718395010659634,0.5629734035232916,0.9068825910931174,4.724555912615338,160727_k5_YFP_15-45_spots.csv,YFP,2016-07-27,K5
ID4026,4026,0,106.0,135.24341525824204,70.63764423212632,12.0,12,5.775972175204827,1,146.17924528301887,136.0,44.0,305.0,15495.0,68.11653839732683,0.6351111395111843,1.6671151350251243,0.2289109459893305,0.3914417327756814,8.55985053438881,4.08834073324473,1.4043060395569518,2.093722390793794,104.80935722328584,59.66207401279158,0.370009801422798,0.8060836501901144,5.827715174143584,160727_k5_YFP_15-45_spots.csv,YFP,2016-07-27,K5
ID4027,4027,0,114.0,135.75738595542117,68.47182470766222,13.0,13,5.989969147270218,1,132.58771929824562,128.0,49.0,248.0,15115.0,54.0617168464033,0.636706535313908,1.9081475469212537,-0.2293743256450107,-0.1768076612402667,8.336844124233496,4.467691832755121,1.062871065289361,1.866029358406388,112.71949739108103,53.6958666115124,0.4912778635243305,0.8871595330739307,5.057563382541145,160727_k5_YFP_15-45_spots.csv,YFP,2016-07-27,K5
ID4031,4031,0,114.0,135.67016070101687,67.4949018583303,14.0,14,5.989969147270214,1,133.05263157894737,127.0,46.0,295.0,15168.0,53.86476709878572,0.6259975082275097,1.9019601211250088,0.038747207938901,0.0273213739867703,8.290215008825209,4.480890221545286,1.1076890479820638,1.850126782612013,112.71949739108094,53.69586661151237,0.4912778635243305,0.8803088803088808,5.057563382541144,160727_k5_YFP_15-45_spots.csv,YFP,2016-07-27,K5
ID4034,4034,1,127.0,114.30533051348344,131.2722221651525,14.0,14,6.322284285531277,1,271.755905511811,271.0,58.0,555.0,34513.0,137.12933974180268,0.7709965928097431,1.7254935267747598,-0.292652456147204,-0.7133204142225011,8.078909143867186,5.493837661523382,0.1992933529277925,1.4705402018790252,125.5734751637481,65.6282814140707,0.3663749008318679,0.7696969696969698,5.856552962146347,160727_k5_YFP_15-45_spots.csv,YFP,2016-07-27,K5
ID4036,4036,1,103.0,114.37161663908414,133.72800149274877,17.0,17,5.693650071575318,1,245.2038834951456,240.0,54.0,446.0,25256.0,108.86485228576753,0.7094188592064091,1.8694932041621093,-0.3404624447925556,-0.3868041649988527,6.103586426891352,5.659311223662541,2.206618630777441,1.0785034053916709,101.84305466036272,51.707130811086046,0.4786746202954863,0.8078431372549021,5.123712246454324,160727_k5_YFP_15-45_spots.csv,YFP,2016-07-27,K5
ID4043,4043,1,145.0,112.8367546903982,133.27272946719324,19.0,19,6.755479196490822,1,230.496551724138,216.0,56.0,508.0,33422.0,115.29865351302116,0.7565084432449345,1.7220023132578168,-0.6682514628248847,-0.6840284563801703,8.62088460804984,5.752202121130974,0.1535100961804115,1.4987103072022854,143.3712905412871,71.59448881534982,0.351489918804414,0.7671957671957675,5.979274549469274,160727_k5_YFP_15-45_spots.csv,YFP,2016-07-27,K5
ID4045,4045,1,137.0,113.6192343791049,132.94771407448982,18.0,18,6.56647724108685,1,170.8978102189781,161.0,49.0,389.0,23413.0,77.6079215058857,0.7019557478037433,1.816443575830223,-0.2326755738961605,-0.7121501277064446,8.797259413317,5.668510819152287,0.3393424327172492,1.551952478170027,135.4611503734919,73.58322461577626,0.3143887461956183,0.722955145118733,6.322246667104033,160727_k5_YFP_15-45_spots.csv,YFP,2016-07-27,K5
ID4046,4046,1,150.0,106.64264273819848,135.9632375558187,27.0,27,6.870965838915094,1,223.84,205.0,36.0,522.0,33576.0,125.0502760637663,0.7680978289314763,1.555225199869542,-0.1107468844191491,-0.1777968796347291,9.183866666465688,6.53925357551671,2.931951101939841,1.4044212478394384,148.315128146159,61.65080981321796,0.4903630572720795,0.842696629213483,5.062278801751904,160727_k5_YFP_15-45_spots.csv,YFP,2016-07-27,K5
ID4052,4052,1,156.0,107.2260052396576,135.12567382448557,25.0,25,7.007037777971501,1,308.1666666666667,296.0,41.0,625.0,48074.0,166.82715928549766,0.8174194877248627,1.6616467728891835,0.2377362526021678,0.0702499659062457,8.969122708129067,5.7001086052330505,-0.2387109341897114,1.573500318905303,154.24773327200555,63.63954561364432,0.4786020058203206,0.8914285714285717,5.1241009217627855,160727_k5_YFP_15-45_spots.csv,YFP,2016-07-27,K5
ID4053,4053,1,87.0,119.44987270262156,129.32497460818695,0.0,0,5.23277168473192,1,306.01149425287355,301.0,63.0,584.0,26623.0,138.986405078261,0.7648159712483031,1.908327621462233,-0.285103325755769,0.0862330203839693,6.145714624141327,4.774520818732036,0.0972068834411368,1.2871898264700492,86.02277432477214,41.76345180895407,0.6197699792796187,0.9255319148936166,4.50287264631874,160727_k5_YFP_15-45_spots.csv,YFP,2016-07-27,K5
ID3990,3990,1,130.0,113.77098575208232,131.89142848750564,8.0,8,6.3965210871431095,1,256.6307692307692,254.0,55.0,477.0,33362.0,115.32247597289948,0.7563421025868048,1.9166107845637528,-0.2744676109486996,-0.1805327989624473,8.88774887048043,5.002324929992872,3.056831553351957,1.7767236224882923,128.53977772667122,63.63954561364432,0.3988350048502669,0.8049535603715173,5.613171323564986,160727_k5_YFP_15-45_spots.csv,YFP,2016-07-27,K5
ID4055,4055,1,143.0,113.23277543406714,132.54298283890665,9.0,9,6.708727913702653,1,275.4195804195804,275.0,41.0,545.0,39385.0,140.86950372133762,0.7665610170754422,1.6967814614892798,0.1824385461037097,-0.1804338021347042,9.223470550830625,5.2607523286723605,-0.049680164798427,1.753260745722717,141.39375549933845,63.63954561364429,0.4387185053352943,0.8101983002832868,5.351948864045375,160727_k5_YFP_15-45_spots.csv,YFP,2016-07-27,K5
ID3993,3993,1,109.0,116.724195258973,129.39554400572663,2.0,2,5.857137355392234,1,241.08256880733944,243.0,49.0,458.0,26278.0,117.92787566986355,0.7359404454017655,1.7333536534074387,0.0261304302769469,0.0636505575980297,6.7317328223432575,5.027751692233176,2.6221349458419634,1.3389151323328827,107.77565978620898,49.718395010659634,0.5478937587860602,0.9008264462809916,4.789131426105756,160727_k5_YFP_15-45_spots.csv,YFP,2016-07-27,K5
