SOURCE_FILE,SPOT_COUNT,FRAMECOUNT,CHANNEL,MODEL,DATE,SPOTS_PER_FRAME
181022_k5_OG_corr_3Ddrift_CFP_74-83_spots.csv,55,29,CFP,K5,,1.896551724137931
181022_k5_OG_corr_3Ddrift_CFP_84-93_spots.csv,53,26,CFP,K5,,2.0384615384615383
181022_k5_OG_corr_3Ddrift_CFP_94-103_spots.csv,19,15,CFP,K5,,1.2666666666666666
181022_k5_OG_corr_3Ddrift_RFP_31-48_spots.csv,63,27,RFP,K5,,2.3333333333333335
181022_k5_OG_corr_3Ddrift_RFP_49-58_spots.csv,22,16,RFP,K5,,1.375
181022_k5_OG_corr_3Ddrift_RFP_59-74_spots.csv,130,31,RFP,K5,,4.193548387096774
181022_k5_OG_corr_3Ddrift_RFP_75-92_spots.csv,152,31,RFP,K5,,4.903225806451613
181022_k5_OG_corr_3Ddrift_RFP_93-112_spots.csv,15,15,RFP,K5,,1.0
181022_k5_OG_corr_3Ddrift_YFP_32-53_spots.csv,75,29,YFP,K5,,2.586206896551724
181022_k5_OG_corr_3Ddrift_YFP_54-72_spots.csv,18,15,YFP,K5,,1.2
181022_k5_OG_corr_3Ddrift_YFP_73-92_spots.csv,70,30,YFP,K5,,2.3333333333333335
200203_elf5_CFP_17-26_spots.csv,147,25,CFP,ELF5,,5.88
200203_elf5_CFP_27-35_spots.csv,80,25,CFP,ELF5,,3.2
200203_elf5_CFP_36-46_spots.csv,119,25,CFP,ELF5,,4.76
200203_elf5_CFP_6-17_spots.csv,93,25,CFP,ELF5,,3.72
200203_elf5_RFP_22-52_spots.csv,125,25,RFP,ELF5,,5.0
200203_elf5_YFP_12-28_spots.csv,58,25,YFP,ELF5,,2.32
200203_elf5_YFP_29-37_spots.csv,128,25,YFP,ELF5,,5.12
200203_elf5_YFP_38-45_spots.csv,94,25,YFP,ELF5,,3.76
200203_elf5_YFP_46-57_spots.csv,157,25,YFP,ELF5,,6.28
200206_elf5_duct_107-116_CFP_spots.csv,275,20,CFP,ELF5,,13.75
200206_elf5_duct_107-116_YFP_spots.csv,198,20,YFP,ELF5,,9.9
200206_elf5_duct_117-126_CFP_spots.csv,312,20,CFP,ELF5,,15.6
200206_elf5_duct_117-126_YFP_spots.csv,156,20,YFP,ELF5,,7.8
200206_elf5_duct_127-136_CFP_spots.csv,192,20,CFP,ELF5,,9.6
200206_elf5_duct_127-136_YFP_spots.csv,96,20,YFP,ELF5,,4.8
200206_elf5_duct_137-146_CFP_spots.csv,128,20,CFP,ELF5,,6.4
200206_elf5_duct_137-146_YFP_spots.csv,149,20,YFP,ELF5,,7.45
200206_elf5_duct_147-156_CFP_spots.csv,83,20,CFP,ELF5,,4.15
200206_elf5_duct_147-156_YFP_spots.csv,95,20,YFP,ELF5,,4.75
200206_elf5_duct_60-76_CFP_spots.csv,167,20,CFP,ELF5,,8.35
200206_elf5_duct_60-76_YFP_spots.csv,115,20,YFP,ELF5,,5.75
200206_elf5_duct_77-86_CFP_spots.csv,261,20,CFP,ELF5,,13.05
200206_elf5_duct_77-86_YFP_spots.csv,247,20,YFP,ELF5,,12.35
200206_elf5_duct_87-96_CFP_spots.csv,381,20,CFP,ELF5,,19.05
200206_elf5_duct_87-96_YFP_spots.csv,275,20,YFP,ELF5,,13.75
200206_elf5_duct_97-106_CFP_spots.csv,262,20,CFP,ELF5,,13.1
200206_elf5_duct_97-106_YFP_spots.csv,154,20,YFP,ELF5,,7.7
200206_elf5_duct_RFP_107-116_spots.csv,575,20,RFP,ELF5,,28.75
200206_elf5_duct_RFP_117-126_spots.csv,429,20,RFP,ELF5,,21.45
200206_elf5_duct_RFP_127-136_spots.csv,260,20,RFP,ELF5,,13.0
200206_elf5_duct_RFP_137-146_spots.csv,270,20,RFP,ELF5,,13.5
200206_elf5_duct_RFP_147-156_spots.csv,212,20,RFP,ELF5,,10.6
200206_elf5_duct_RFP_60-76_spots.csv,251,20,RFP,ELF5,,12.55
200206_elf5_duct_RFP_77-86_spots.csv,262,20,RFP,ELF5,,13.1
200206_elf5_duct_RFP_87-96_spots.csv,589,20,RFP,ELF5,,29.45
200206_elf5_duct_RFP_97-106_spots.csv,656,20,RFP,ELF5,,32.8
200219_elf5kaihugo_1715_5wkteb_arith_corr_crop 3D_CFP_23-37_spots.csv,134,22,CFP,ELF5,,6.090909090909091
200219_elf5kaihugo_1715_5wkteb_arith_corr_crop 3D_CFP_38-62_spots.csv,161,22,CFP,ELF5,,7.318181818181818
200219_elf5kaihugo_1715_5wkteb_arith_corr_crop 3D_CFP_63-80_spots.csv,103,16,CFP,ELF5,,6.4375
200219_elf5kaihugo_1715_5wkteb_arith_corr_crop 3D_YFP_18-27_spots.csv,85,21,YFP,ELF5,,4.0476190476190474
200219_elf5kaihugo_1715_5wkteb_arith_corr_crop 3D_YFP_28-37_spots.csv,248,22,YFP,ELF5,,11.272727272727273
